0	1
0	2
0	3
0	4
0	7
0	9
0	11
0	14
0	16
0	18
0	47
1	2
1	3
1	45
1	80
2	3
2	5
2	6
2	8
2	10
2	12
2	18
3	4
3	5
3	8
3	9
3	10
3	11
3	15
3	52
4	9
4	16
4	44
4	46
4	55
5	6
5	7
5	12
5	13
5	14
5	15
5	17
5	46
5	47
6	11
6	12
6	13
6	46
7	17
7	43
7	58
8	95
9	10
10	28
11	13
11	18
11	102
12	14
12	15
12	17
12	38
12	40
12	66
14	16
14	79
17	33
17	48
17	58
19	23
19	21
19	44
19	48
19	57
20	21
20	24
20	48
21	22
21	42
21	44
21	45
22	23
22	91
23	65
25	26
26	27
26	45
27	28
27	38
33	87
34	37
34	89
36	62
36	80
37	52
38	70
38	80
40	87
41	53
42	82
44	47
47	51
48	55
52	58
56	57
60	67
62	80
63	74
64	65
64	68
65	71
65	93
69	96
70	79
74	78
75	76
76	77
77	78
84	87
84	101
86	102
88	101
90	91
92	93
94	98
94	96
97	98
